,type,title,release_year,rating,duration,is_adult,polarity,subjectivity,continent
0,Movie,Norm of the North: King Sized Adventure,2019,3.3,90,0,0.033333333333333326,0.5166666666666667,North America
1,Movie,Jandino: Whatever it Takes,2016,4.5,94,0,0.0,0.0,Europe
2,TV Show,Transformers Prime,2013,7.9,1,0,0.0,0.1,North America
3,TV Show,Transformers: Robots in Disguise,2016,6.0,1,0,0.13636363636363635,0.45454545454545453,North America
4,Movie,#realityhigh,2017,5.1,99,0,0.04833333333333333,0.40166666666666667,North America
5,TV Show,Apaches,2016,7.0,1,0,-0.10000000000000002,0.30000000000000004,Europe
6,Movie,Automata,2014,7.0,110,0,-0.06666666666666667,0.041666666666666664,Europe
7,Movie,Fabrizio Copano: Solo pienso en mi,2017,5.0,60,0,0.25,0.25,South America
8,TV Show,Fire Chasers,2017,6.5,1,0,0.8,1.0,North America
9,Movie,Good People,2014,5.3,90,0,0.0,0.25,North America
11,Movie,Kidnapping Mr. Heineken,2015,6.1,95,0,0.0,0.0,Europe
19,Movie,Love,2015,7.7,135,0,-0.08333333333333333,0.43333333333333335,Europe
20,Movie,Manhattan Romance,2014,5.6,98,0,0.13999999999999999,0.33999999999999997,North America
21,Movie,Moonwalkers,2015,6.1,96,0,0.1,0.4,Europe
22,Movie,Rolling Papers,2015,6.2,79,0,0.13636363636363635,0.45454545454545453,North America
23,Movie,Stonehearst Asylum,2014,6.8,113,0,0.05,0.2833333333333333,North America
24,Movie,The Runner,2015,6.6,90,0,0.16818181818181818,0.32727272727272727,North America
25,Movie,6 Years,2015,5.5,80,0,0.06666666666666667,0.5083333333333333,North America
27,Movie,City of Joy,2018,7.6,77,0,0.39999999999999997,0.3777777777777778,North America
28,TV Show,First and Last,2018,6.7,1,0,0.08106060606060607,0.35075757575757577,Unknown
29,Movie,Laddaland,2011,6.2,112,0,0.0,0.0,Asia
30,Movie,Next Gen,2018,6.6,106,0,-0.35,0.8,Asia
31,Movie,Sierra Burgess Is A Loser,2018,5.8,106,0,0.31607142857142856,0.5482142857142858,North America
32,Movie,The Most Assassinated Woman in the World,2018,5.3,102,0,0.05,0.85,Europe
34,TV Show,Archibald's Next Big Thing,2019,7.5,1,0,-0.11249999999999999,0.575,Unknown
35,Movie,Article 15,2019,6.2,125,0,-0.3,0.85,Asia
37,Movie,Ee Nagaraniki Emaindi,2018,7.9,133,0,0.06666666666666667,0.8333333333333334,Asia
38,Movie,Kill Me If You Dare,2019,4.4,100,0,-0.1601851851851852,0.25462962962962965,Unknown
39,TV Show,The Spy,2019,6.9,1,0,0.0,0.4,Europe
40,Movie,Hell and Back,2015,7.8,86,0,0.4375,0.3375,North America
41,Movie,PK,2014,8.1,146,0,0.016666666666666666,0.08333333333333334,Asia
42,Movie,Hard Tide,2015,4.8,79,0,0.037499999999999985,0.525,Europe
43,Movie,Elstree 1976,2015,5.9,102,0,0.0,0.0,Europe
44,Movie,American Factory: A Conversation with the Obamas,2019,5.1,10,0,0.0,0.0,Unknown
45,Movie,ATM,2012,1.8,122,0,0.07878787878787878,0.4515151515151515,North America
46,Movie,Bangkok Traffic (Love) Story,2009,7.1,126,0,0.425,0.625,Asia
48,Movie,One Day,2016,9.5,135,0,-0.3,0.1,Asia
49,Movie,Phobia 2,2009,6.6,125,0,0.08333333333333333,0.2833333333333333,Asia
50,Movie,Shutter,2004,4.2,96,0,0.13333333333333333,0.43333333333333335,Asia
51,Movie,Suckseed,2011,7.4,130,0,0.35,0.7,Asia
52,Movie,Carrie Pilby,2016,6.6,98,0,-0.3,0.55,North America
53,Movie,Marc Maron: Too Real,2017,7.2,70,0,-0.09999999999999999,0.43333333333333335,North America
54,TV Show,No Tomorrow,2016,6.3,1,0,0.13636363636363635,0.45454545454545453,North America
55,Movie,Saawan,2016,7.2,128,0,0.15,0.35000000000000003,Asia
56,Movie,The Heretics,2017,4.7,88,0,0.25,0.5,North America
57,Movie,The World We Make,2019,5.2,108,0,-0.09375,0.19375,North America
58,Movie,Watchman,2019,5.3,93,0,-0.05,0.30000000000000004,Asia
59,Movie,Black Panther,2018,7.9,135,0,0.10101010101010101,0.3404040404040403,North America
60,Movie,Man Up,2015,7.9,88,0,-0.2857142857142857,0.44047619047619047,Europe
61,TV Show,Frequency,2016,6.6,1,0,0.125,0.625,North America
62,Movie,Mo Gilligan: Momentum,2019,6.3,64,0,-0.056249999999999994,0.5125,Europe
63,TV Show,Adam Ruins Everything,2018,8.0,1,0,0.2590909090909091,0.5818181818181818,North America
64,TV Show,Ben 10,2016,3.0,1,0,0.0,0.0,North America
65,Movie,Big Miracle,2012,6.5,107,0,0.07499999999999998,0.325,North America
67,TV Show,The Eighties,2016,8.2,1,0,-0.25,0.5,North America
68,TV Show,The Nineties,2017,8.1,1,0,0.025,0.06666666666666667,North America
69,TV Show,The Seventies,2015,8.2,1,0,0.040625,0.175,North America
70,TV Show,We Bare Bears,2017,7.9,1,0,0.25,0.42500000000000004,North America
71,Movie,The Mayor,2017,5.5,130,0,0.14444444444444446,0.41111111111111115,Asia
72,TV Show,The Royal House of Windsor,2017,7.3,1,0,0.225,0.24166666666666667,Europe
73,Movie,Amanda Knox,2016,7.6,92,0,0.0,0.0,Europe
74,TV Show,Lovesick,2014,2.0,1,0,0.04,0.535,Unknown
75,Movie,The Debt Collector,2018,5.8,96,0,0.0,0.0,Europe
76,Movie,Act of Vengeance,2010,5.7,112,0,0.06818181818181818,0.7272727272727273,Asia
77,Movie,Paradise Lost,2018,8.6,111,0,0.0,0.23541666666666666,South America
78,Movie,Gerald's Game,2017,6.9,103,0,-0.2875,0.475,North America
79,Movie,Long Shot,2017,7.4,40,0,0.12307692307692307,0.45384615384615384,North America
81,Movie,Our Souls at Night,2017,6.9,103,0,0.2,0.30000000000000004,North America
82,Movie,Out of Thin Air,2017,6.3,85,0,-0.06250000000000001,0.2625,Unknown
83,TV Show,Paul Hollywood's Big Continental Road Trip,2017,7.4,1,0,0.25,1.0,Europe
85,Movie,"Monster High: Boo York, Boo York",2015,6.4,72,0,0.175,0.555,North America
87,Movie,Domino,2019,8.3,89,0,-0.15,0.5,Europe
88,Movie,TUNA GIRL,2019,6.1,90,0,0.1777777777777778,0.7444444444444445,Unknown
89,Movie,5CM,2012,7.9,126,0,0.15,0.325,Asia
90,Movie,Animal World,2018,6.9,130,0,-0.16666666666666666,0.20000000000000004,Asia
91,Movie,Hold the Dark,2018,5.6,126,0,-0.5,0.6333333333333333,North America
93,TV Show,Made in Mexico,2018,3.9,1,0,-0.2,0.5,North America
